lat,lon,temp,precip,grass,forest,barren,water,class
36.5,94.45000000000003,5.1798248291015625,36.978946685791016,0,0,1,0,7
36.5,94.60000000000004,5.872807502746582,41.53158187866211,1,0,0,0,4
36.5,94.75000000000004,5.872807502746582,41.53158187866211,1,0,0,0,4
36.5,94.90000000000005,5.872807502746582,41.53158187866211,1,0,0,0,4
36.5,95.05000000000005,6.084649085998535,52.057891845703125,1,0,0,0,4
36.5,95.20000000000006,6.084649085998535,52.057891845703125,1,0,0,0,4
36.5,95.35000000000007,6.084649085998535,52.057891845703125,1,0,0,0,4
36.5,95.50000000000007,6.038597106933594,62.92631530761719,0,0,1,0,7
36.5,95.65000000000008,6.038597106933594,62.92631530761719,1,0,0,0,4
36.5,95.80000000000008,6.038597106933594,62.92631530761719,1,0,0,0,4
36.5,95.95000000000009,6.038597106933594,62.92631530761719,0,0,1,0,7
36.5,96.1000000000001,5.776754379272461,74.01579284667969,0,0,1,0,7
36.5,96.2500000000001,5.776754379272461,74.01579284667969,1,0,0,0,4
36.5,96.4000000000001,5.776754379272461,74.01579284667969,1,0,0,0,4
36.5,96.55000000000011,5.473245620727539,112.50525665283203,0,0,1,0,7
36.5,96.70000000000012,5.473245620727539,112.50525665283203,0,0,1,0,7
36.5,96.85000000000012,5.473245620727539,112.50525665283203,0,0,1,0,7
36.5,97.00000000000013,5.528947353363037,168.15789794921875,0,0,1,0,7
36.5,97.15000000000013,5.528947353363037,168.15789794921875,0,0,1,0,7
36.5,97.30000000000014,5.528947353363037,168.15789794921875,0,0,1,0,7
36.5,97.45000000000014,5.528947353363037,168.15789794921875,0,0,1,0,7
36.5,97.60000000000015,4.034648895263672,221.5210723876953,0,0,1,0,7
36.5,97.75000000000016,4.034648895263672,221.5210723876953,0,0,1,0,7
36.5,97.90000000000016,4.034648895263672,221.5210723876953,0,0,1,0,7
36.5,98.05000000000017,2.6311404705047607,257.0736999511719,1,0,0,0,4
36.5,98.20000000000017,2.6311404705047607,257.0736999511719,1,0,0,0,4
36.5,98.35000000000018,2.6311404705047607,257.0736999511719,1,0,0,0,4
36.5,98.50000000000018,0.8526316285133362,290.6999816894531,1,0,0,0,4
36.5,98.65000000000019,0.8526316285133362,290.6999816894531,1,0,0,0,4
36.5,98.8000000000002,0.8526316285133362,290.6999816894531,1,0,0,0,4
36.5,98.9500000000002,0.8526316285133362,290.6999816894531,1,0,0,0,4
36.5,99.10000000000021,0.9539473652839661,318.2526550292969,1,0,0,0,4
36.5,99.25000000000021,0.9539473652839661,318.2526550292969,1,0,0,0,4
36.5,99.40000000000022,0.9539473652839661,318.2526550292969,1,0,0,0,4
36.5,99.55000000000022,0.8548245429992676,380.4105529785156,0,0,1,0,7
36.5,99.70000000000023,0.8548245429992676,380.4105529785156,1,0,0,0,4
36.5,99.85000000000024,0.8548245429992676,380.4105529785156,1,0,0,0,4
36.5,100.00000000000024,1.1846489906311035,418.1158142089844,1,0,0,0,4
36.5,100.15000000000025,1.1846489906311035,418.1158142089844,1,0,0,0,4
36.5,100.30000000000025,1.1846489906311035,418.1158142089844,1,0,0,0,4
36.5,100.45000000000026,1.1846489906311035,418.1158142089844,1,0,0,0,4
36.5,100.60000000000026,0.7675438523292542,458.5736389160156,1,0,0,0,4
36.5,100.75000000000027,0.7675438523292542,458.5736389160156,1,0,0,0,4
36.5,100.90000000000028,0.7675438523292542,458.5736389160156,1,0,0,0,4
36.5,101.05000000000028,0.7921051979064941,489.84735107421875,1,0,0,0,4
36.5,101.20000000000029,0.7921051979064941,489.84735107421875,1,0,0,0,4
36.5,101.35000000000029,0.7921051979064941,489.84735107421875,1,0,0,0,4
36.5,101.5000000000003,4.060965061187744,454.9842834472656,1,0,0,0,4
36.5,101.6500000000003,4.060965061187744,454.9842834472656,1,0,0,0,4
36.5,101.80000000000031,4.060965061187744,454.9842834472656,1,0,0,0,4
36.5,101.95000000000032,4.060965061187744,454.9842834472656,1,0,0,0,4
36.5,102.10000000000032,1.7201755046844482,480.67901611328125,1,0,0,0,4
36.5,102.25000000000033,1.7201755046844482,480.67901611328125,1,0,0,0,4
36.5,102.40000000000033,1.7201755046844482,480.67901611328125,1,0,0,0,4
36.5,102.55000000000034,3.175877332687378,436.4683837890625,1,0,0,0,4
36.5,102.70000000000034,3.175877332687378,436.4683837890625,1,0,0,0,4
36.5,102.85000000000035,3.175877332687378,436.4683837890625,1,0,0,0,4
36.5,103.00000000000036,5.0065789222717285,376.07891845703125,1,0,0,0,4
36.5,103.15000000000036,5.0065789222717285,376.07891845703125,1,0,0,0,4
36.5,103.30000000000037,5.0065789222717285,376.07891845703125,1,0,0,0,4
